,Gender,Age Group,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount
64,Female,36-45,Married,Delhi,Central,Aviation,Others,2,21317
65,Female,26-35,Single,Delhi,Central,IT Sector,Others,4,21293
66,Female,36-45,Single,Delhi,Central,Hospitality,Others,1,21266
67,Male,18-25,Single,Delhi,Central,Others,Others,1,21259
68,Male,18-25,Married,Kerala,Southern,Media,Others,2,21246
69,Female,26-35,Single,Delhi,Central,Banking,Others,4,21218
70,Male,46-50,Single,Andhra Pradesh,Southern,Govt,Others,2,21178
71,Male,36-45,Married,Karnataka,Southern,Media,Others,1,21178
72,Female,26-35,Single,Delhi,Central,Aviation,Others,4,21152
73,Female,18-25,Single,Madhya Pradesh,Central,IT Sector,Others,2,21079
74,Male,18-25,Married,Maharashtra,Western,Media,Others,1,21058
75,Male,36-45,Single,Delhi,Central,Hospitality,Others,1,21039
76,Female,36-45,Married,Gujarat,Western,Media,Others,3,21013
77,Female,18-25,Married,Delhi,Central,IT Sector,Others,4,21009
78,Male,26-35,Single,Delhi,Central,Govt,Others,4,20981
79,Female,18-25,Married,Kerala,Southern,Govt,Others,4,20967
80,Male,51-55,Married,Himachal Pradesh,Northern,Healthcare,Others,2,20965
81,Female,51-55,Married,Karnataka,Southern,Others,Footwear & Shoes,4,20965
82,Female,36-45,Married,Uttar Pradesh,Central,Others,Footwear & Shoes,2,20963
83,Female,26-35,Married,Delhi,Central,IT Sector,Footwear & Shoes,1,20960
84,Male,46-50,Single,Karnataka,Southern,Banking,Footwear & Shoes,3,20960
85,Female,36-45,Single,Delhi,Central,Others,Footwear & Shoes,1,20959
86,Female,26-35,Married,Madhya Pradesh,Central,Others,Footwear & Shoes,1,20955
87,Female,36-45,Single,Delhi,Central,Banking,Others,4,20951
88,Female,26-35,Single,Delhi,Central,Others,Footwear & Shoes,3,20950
89,Female,18-25,Single,Maharashtra,Western,Aviation,Others,3,20949
90,Male,18-25,Single,Delhi,Central,Others,Footwear & Shoes,3,20948
91,Female,36-45,Married,Delhi,Central,Aviation,Footwear & Shoes,4,20945
92,Female,46-50,Married,Karnataka,Southern,Others,Footwear & Shoes,2,20944
93,Male,26-35,Single,Delhi,Central,IT Sector,Others,1,20943
94,Female,26-35,Married,Delhi,Central,IT Sector,Footwear & Shoes,1,20938
95,Female,18-25,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,2,20933
96,Female,36-45,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,3,20932
97,Female,26-35,Single,Andhra Pradesh,Southern,Others,Others,2,20930
98,Female,46-50,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,1,20929
99,Female,36-45,Married,Delhi,Central,Govt,Footwear & Shoes,2,20928
100,Male,18-25,Married,Jharkhand,Eastern,Others,Footwear & Shoes,3,20925
101,Male,51-55,Single,Delhi,Central,IT Sector,Footwear & Shoes,3,20920
102,Female,26-35,Married,Delhi,Central,Healthcare,Footwear & Shoes,1,20914
103,Female,36-45,Married,Uttar Pradesh,Central,Others,Footwear & Shoes,2,20914
104,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,3,20912
105,Female,36-45,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,4,20912
106,Female,51-55,Single,Delhi,Central,Hospitality,Footwear & Shoes,2,20908
107,Female,26-35,Married,Karnataka,Southern,Hospitality,Footwear & Shoes,1,20908
108,Female,46-50,Single,Karnataka,Southern,Others,Footwear & Shoes,4,20906
110,Male,36-45,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,3,20900
112,Female,46-50,Single,Delhi,Central,Others,Footwear & Shoes,1,20896
113,Female,26-35,Single,Uttar Pradesh,Central,Others,Others,1,20883
114,Female,26-35,Married,Delhi,Central,Others,Footwear & Shoes,4,20875
115,Female,26-35,Married,Delhi,Central,IT Sector,Footwear & Shoes,2,20874
116,Female,36-45,Single,Karnataka,Southern,IT Sector,Footwear & Shoes,1,20874
117,Female,36-45,Single,Delhi,Central,IT Sector,Footwear & Shoes,1,20873
118,Female,46-50,Single,Delhi,Central,Others,Footwear & Shoes,3,20870
119,Female,36-45,Single,Delhi,Central,Others,Others,2,20867
120,Female,26-35,Single,Karnataka,Southern,IT Sector,Footwear & Shoes,2,20865
121,Male,26-35,Married,Jharkhand,Eastern,IT Sector,Footwear & Shoes,3,20863
122,Female,26-35,Single,Bihar,Eastern,Others,Others,3,20860
123,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,3,20855
124,Male,55+,Single,Uttar Pradesh,Central,Govt,Footwear & Shoes,2,20853
125,Female,26-35,Single,Delhi,Central,Aviation,Others,4,20852
126,Female,51-55,Single,Karnataka,Southern,Aviation,Footwear & Shoes,4,20850
127,Female,18-25,Single,Madhya Pradesh,Central,Healthcare,Footwear & Shoes,4,20847
128,Female,36-45,Married,Delhi,Central,Others,Footwear & Shoes,2,20840
129,Male,51-55,Married,Maharashtra,Western,Aviation,Footwear & Shoes,4,20837
130,Female,36-45,Single,Delhi,Central,Aviation,Footwear & Shoes,2,20833
131,Female,36-45,Married,Delhi,Central,Banking,Footwear & Shoes,4,20819
132,Female,18-25,Single,Uttar Pradesh,Central,Govt,Others,1,20816
133,Female,26-35,Married,Karnataka,Southern,Hospitality,Footwear & Shoes,3,20815
134,Male,46-50,Married,Karnataka,Southern,Hospitality,Footwear & Shoes,1,20815
135,Female,46-50,Single,Delhi,Central,IT Sector,Footwear & Shoes,4,20812
136,Female,26-35,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,2,20807
137,Female,26-35,Single,Delhi,Central,Banking,Footwear & Shoes,2,20805
138,Male,51-55,Married,Gujarat,Western,Hospitality,Footwear & Shoes,4,20796
139,Male,51-55,Married,Rajasthan,Northern,Hospitality,Footwear & Shoes,2,20796
140,Male,0-17,Single,Bihar,Eastern,Healthcare,Footwear & Shoes,4,20788
141,Male,36-45,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,3,20783
142,Female,26-35,Married,Delhi,Central,Others,Footwear & Shoes,1,20770
143,Female,26-35,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,4,20767
144,Female,36-45,Single,Karnataka,Southern,Aviation,Footwear & Shoes,1,20767
145,Female,51-55,Single,Madhya Pradesh,Central,IT Sector,Others,2,20757
146,Female,26-35,Married,Delhi,Central,Aviation,Footwear & Shoes,2,20752
147,Female,36-45,Single,Delhi,Central,IT Sector,Footwear & Shoes,2,20752
148,Female,46-50,Single,Karnataka,Southern,Aviation,Footwear & Shoes,4,20751
149,Female,36-45,Single,Uttar Pradesh,Central,Media,Footwear & Shoes,4,20751
150,Female,26-35,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,3,20745
151,Female,46-50,Married,Uttar Pradesh,Central,Banking,Footwear & Shoes,4,20745
152,Female,36-45,Married,Uttar Pradesh,Central,Media,Footwear & Shoes,2,20744
153,Male,46-50,Single,Haryana,Northern,Others,Others,1,20739
154,Male,36-45,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,2,20739
155,Female,46-50,Single,Madhya Pradesh,Central,Aviation,Footwear & Shoes,2,20729
156,Female,46-50,Single,Delhi,Central,Aviation,Footwear & Shoes,4,20714
157,Female,46-50,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,4,20712
158,Female,26-35,Married,Uttar Pradesh,Central,Banking,Others,1,20707
159,Female,51-55,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,1,20705
160,Female,36-45,Single,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,2,20691
161,Male,51-55,Married,Uttar Pradesh,Central,Aviation,Furniture,3,20689
162,Female,26-35,Married,Karnataka,Southern,Banking,Footwear & Shoes,2,20688
163,Male,26-35,Single,Maharashtra,Western,Media,Footwear & Shoes,4,20678
164,Female,26-35,Married,Karnataka,Southern,Aviation,Footwear & Shoes,4,20677
165,Male,26-35,Single,Kerala,Southern,Others,Furniture,1,20677
166,Male,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,3,20676
167,Female,46-50,Single,Maharashtra,Western,Govt,Furniture,1,20673
168,Female,36-45,Married,Karnataka,Southern,Others,Footwear & Shoes,1,20669
169,Male,26-35,Single,Delhi,Central,Others,Others,4,20668
170,Female,46-50,Married,Delhi,Central,Others,Footwear & Shoes,1,20668
171,Male,26-35,Single,Maharashtra,Western,Others,Furniture,2,20666
172,Female,36-45,Single,Karnataka,Southern,Banking,Footwear & Shoes,3,20665
173,Female,36-45,Married,Karnataka,Southern,Others,Footwear & Shoes,1,20664
174,Female,36-45,Single,Karnataka,Southern,Others,Footwear & Shoes,3,20661
175,Male,36-45,Single,Delhi,Central,Others,Footwear & Shoes,3,20660
176,Female,26-35,Married,Delhi,Central,IT Sector,Footwear & Shoes,2,20659
177,Female,36-45,Married,Delhi,Central,Media,Footwear & Shoes,1,20659
178,Female,46-50,Single,Karnataka,Southern,IT Sector,Others,1,20659
179,Female,26-35,Single,Delhi,Central,IT Sector,Footwear & Shoes,4,20657
180,Female,46-50,Married,Delhi,Central,Hospitality,Footwear & Shoes,3,20654
181,Female,51-55,Single,Maharashtra,Western,Media,Others,2,20644
182,Female,36-45,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,1,20642
183,Male,36-45,Married,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,4,20641
185,Female,26-35,Married,Uttar Pradesh,Central,Others,Footwear & Shoes,1,20628
186,Male,46-50,Single,Delhi,Central,IT Sector,Others,1,20627
187,Female,26-35,Single,Uttarakhand,Central,Others,Furniture,1,20623
188,Male,36-45,Single,Himachal Pradesh,Northern,Banking,Furniture,4,20622
189,Female,51-55,Single,Delhi,Central,Others,Footwear & Shoes,4,20620
190,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,4,20619
191,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,3,20615
192,Female,26-35,Single,Delhi,Central,IT Sector,Footwear & Shoes,3,20608
193,Female,26-35,Married,Uttarakhand,Central,Media,Furniture,4,20608
194,Male,51-55,Married,Haryana,Northern,Aviation,Furniture,4,20607
195,Male,36-45,Married,Karnataka,Southern,Others,Furniture,1,20607
196,Male,26-35,Single,Maharashtra,Western,Healthcare,Others,1,20606
197,Male,55+,Married,Uttar Pradesh,Central,Others,Footwear & Shoes,2,20603
198,Female,36-45,Single,Maharashtra,Western,IT Sector,Footwear & Shoes,2,20602
199,Female,26-35,Single,Karnataka,Southern,Aviation,Footwear & Shoes,4,20600
200,Male,36-45,Married,Karnataka,Southern,Others,Footwear & Shoes,1,20600
201,Female,36-45,Single,Delhi,Central,IT Sector,Footwear & Shoes,1,20598
202,Female,26-35,Married,Karnataka,Southern,Others,Footwear & Shoes,3,20598
203,Female,26-35,Single,Kerala,Southern,IT Sector,Others,3,20598
204,Female,36-45,Single,Kerala,Southern,Healthcare,Furniture,3,20595
205,Female,18-25,Married,Kerala,Southern,Banking,Furniture,2,20594
206,Female,51-55,Single,Madhya Pradesh,Central,Aviation,Footwear & Shoes,2,20589
207,Female,26-35,Single,Delhi,Central,Healthcare,Footwear & Shoes,1,20588
208,Female,46-50,Married,Uttar Pradesh,Central,Banking,Furniture,1,20588
209,Female,26-35,Single,Delhi,Central,Banking,Footwear & Shoes,4,20586
210,Male,26-35,Married,Madhya Pradesh,Central,Banking,Furniture,3,20586
211,Female,26-35,Married,Karnataka,Southern,Others,Footwear & Shoes,2,20581
212,Female,26-35,Married,Maharashtra,Western,Others,Footwear & Shoes,2,20579
213,Male,26-35,Married,Karnataka,Southern,IT Sector,Furniture,4,20573
214,Female,26-35,Single,Delhi,Central,Banking,Footwear & Shoes,4,20572
215,Female,46-50,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,3,20570
216,Female,26-35,Single,Kerala,Southern,Healthcare,Furniture,4,20570
217,Female,36-45,Married,Maharashtra,Western,Govt,Others,3,20569
218,Male,36-45,Married,Delhi,Central,Others,Footwear & Shoes,3,20566
219,Male,36-45,Married,Delhi,Central,Others,Footwear & Shoes,4,20559
220,Female,26-35,Married,Uttar Pradesh,Central,Banking,Furniture,1,20558
221,Female,36-45,Married,Delhi,Central,Media,Footwear & Shoes,1,20553
222,Male,51-55,Single,Gujarat,Western,Others,Furniture,4,20550
223,Female,46-50,Married,Delhi,Central,Aviation,Footwear & Shoes,2,20549
224,Male,18-25,Single,Bihar,Eastern,Aviation,Footwear & Shoes,2,20548
225,Female,36-45,Single,Delhi,Central,Govt,Footwear & Shoes,3,20547
226,Male,36-45,Single,Karnataka,Southern,Healthcare,Furniture,1,20546
227,Female,18-25,Single,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,4,20544
228,Female,18-25,Single,Kerala,Southern,Hospitality,Furniture,1,20543
229,Female,18-25,Single,Madhya Pradesh,Central,Govt,Furniture,3,20540
230,Female,26-35,Single,Delhi,Central,Media,Footwear & Shoes,2,20537
231,Male,26-35,Single,Delhi,Central,Others,Footwear & Shoes,1,20536
232,Male,26-35,Single,Haryana,Northern,Others,Footwear & Shoes,4,20536
233,Female,26-35,Single,Karnataka,Southern,Aviation,Footwear & Shoes,2,20536
234,Female,55+,Married,Madhya Pradesh,Central,Govt,Furniture,1,20533
235,Female,51-55,Single,Gujarat,Western,Aviation,Others,1,20529
236,Female,36-45,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,4,20525
237,Female,26-35,Married,Delhi,Central,Others,Footwear & Shoes,4,20516
238,Male,26-35,Married,Andhra Pradesh,Southern,IT Sector,Footwear & Shoes,4,20515
239,Female,18-25,Married,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,1,20512
240,Female,51-55,Married,Delhi,Central,Others,Footwear & Shoes,1,20511
241,Female,36-45,Married,Karnataka,Southern,Media,Footwear & Shoes,1,20509
242,Female,36-45,Married,Delhi,Central,Others,Footwear & Shoes,1,20508
243,Male,18-25,Married,Telangana,Southern,Healthcare,Footwear & Shoes,1,20508
244,Female,51-55,Single,Uttar Pradesh,Central,Aviation,Footwear & Shoes,2,20508
245,Male,51-55,Single,Andhra Pradesh,Southern,Others,Footwear & Shoes,4,20505
246,Female,46-50,Single,Delhi,Central,Aviation,Footwear & Shoes,4,20503
247,Female,26-35,Married,Karnataka,Southern,Others,Footwear & Shoes,2,20502
248,Female,51-55,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,3,20502
249,Male,36-45,Married,Karnataka,Southern,Banking,Footwear & Shoes,4,20501
250,Female,36-45,Single,Delhi,Central,Others,Footwear & Shoes,1,20500
251,Male,26-35,Single,Himachal Pradesh,Northern,Aviation,Furniture,4,20495
252,Male,51-55,Single,Karnataka,Southern,Others,Furniture,1,20494
253,Female,26-35,Married,Karnataka,Southern,Banking,Footwear & Shoes,1,20493
254,Female,26-35,Single,Kerala,Southern,Media,Furniture,2,20492
255,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,2,20488
256,Male,36-45,Married,Delhi,Central,IT Sector,Footwear & Shoes,2,20486
257,Female,26-35,Married,Karnataka,Southern,Others,Footwear & Shoes,1,20486
258,Male,26-35,Single,Delhi,Central,Others,Footwear & Shoes,1,20484
259,Female,26-35,Single,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,4,20483
260,Female,26-35,Single,Kerala,Southern,Others,Others,2,20477
261,Female,26-35,Married,Madhya Pradesh,Central,Aviation,Footwear & Shoes,3,20477
262,Female,46-50,Single,Delhi,Central,Banking,Footwear & Shoes,2,20476
263,Female,26-35,Single,Karnataka,Southern,IT Sector,Footwear & Shoes,3,20471
264,Female,26-35,Single,Kerala,Southern,Banking,Furniture,1,20469
265,Female,18-25,Single,Uttarakhand,Central,Govt,Furniture,1,20468
266,Female,18-25,Married,Haryana,Northern,Others,Others,2,20464
267,Male,18-25,Single,Himachal Pradesh,Northern,Healthcare,Furniture,2,20463
268,Male,18-25,Married,Madhya Pradesh,Central,Aviation,Furniture,1,20457
269,Male,36-45,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,3,20457
270,Female,51-55,Married,Delhi,Central,Others,Footwear & Shoes,2,20454
271,Female,18-25,Single,Delhi,Central,Aviation,Footwear & Shoes,1,20450
272,Male,51-55,Married,Uttar Pradesh,Central,Others,Furniture,3,20448
273,Male,26-35,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,1,20445
274,Female,46-50,Single,Uttar Pradesh,Central,IT Sector,Furniture,3,20442
275,Male,55+,Married,Kerala,Southern,Others,Footwear & Shoes,4,20440
276,Female,36-45,Single,Karnataka,Southern,Others,Footwear & Shoes,2,20438
277,Female,18-25,Married,Karnataka,Southern,Banking,Furniture,3,20433
278,Female,26-35,Single,Delhi,Central,Govt,Footwear & Shoes,1,20432
279,Female,26-35,Married,Uttarakhand,Central,Others,Furniture,2,20432
280,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,4,20429
281,Male,55+,Single,Delhi,Central,Govt,Footwear & Shoes,4,20427
282,Male,55+,Single,Madhya Pradesh,Central,Others,Footwear & Shoes,4,20424
283,Male,26-35,Single,Andhra Pradesh,Southern,Healthcare,Footwear & Shoes,2,20423
284,Female,26-35,Single,Maharashtra,Western,Banking,Footwear & Shoes,1,20420
285,Male,18-25,Single,Haryana,Northern,Healthcare,Others,2,20413
286,Male,36-45,Married,Uttar Pradesh,Central,Hospitality,Furniture,4,20410
287,Female,36-45,Single,Bihar,Eastern,Others,Furniture,3,20405
288,Male,55+,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,2,20405
289,Male,46-50,Single,Jharkhand,Eastern,Others,Furniture,4,20403
290,Male,36-45,Married,Haryana,Northern,Banking,Furniture,2,20394
291,Female,26-35,Married,Delhi,Central,Others,Footwear & Shoes,3,20392
292,Female,36-45,Single,Delhi,Central,Healthcare,Footwear & Shoes,1,20387
294,Female,46-50,Single,Maharashtra,Western,Others,Footwear & Shoes,2,20380
295,Female,26-35,Single,Karnataka,Southern,Govt,Footwear & Shoes,1,20379
296,Female,46-50,Single,Delhi,Central,Healthcare,Footwear & Shoes,4,20375
297,Female,26-35,Married,Delhi,Central,Others,Footwear & Shoes,3,20373
298,Female,51-55,Single,Karnataka,Southern,Others,Footwear & Shoes,2,20373
299,Male,55+,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,4,20364
300,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,1,20363
301,Female,26-35,Married,Karnataka,Southern,Banking,Footwear & Shoes,4,20362
302,Male,36-45,Single,Uttar Pradesh,Central,Others,Furniture,1,20361
303,Female,26-35,Married,Delhi,Central,IT Sector,Footwear & Shoes,3,20359
304,Female,26-35,Single,Delhi,Central,Others,Footwear & Shoes,1,20359
305,Female,26-35,Single,Kerala,Southern,Aviation,Furniture,4,20358
306,Female,18-25,Married,Karnataka,Southern,Aviation,Footwear & Shoes,4,20357
307,Female,51-55,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,1,20357
308,Male,36-45,Single,Gujarat,Western,Others,Others,4,20348
309,Female,36-45,Married,Madhya Pradesh,Central,Banking,Footwear & Shoes,4,20344
310,Female,36-45,Single,Karnataka,Southern,Others,Footwear & Shoes,3,20342
311,Female,36-45,Single,Madhya Pradesh,Central,Aviation,Footwear & Shoes,1,20338
312,Male,26-35,Married,Madhya Pradesh,Central,Others,Furniture,1,20328
313,Female,26-35,Married,Kerala,Southern,Banking,Furniture,3,20323
314,Female,26-35,Married,Maharashtra,Western,Others,Furniture,2,20322
315,Female,26-35,Married,Kerala,Southern,IT Sector,Furniture,1,20317
316,Female,36-45,Single,Delhi,Central,IT Sector,Footwear & Shoes,4,20315
317,Female,36-45,Married,Madhya Pradesh,Central,Others,Footwear & Shoes,4,20315
318,Female,36-45,Single,Karnataka,Southern,Banking,Footwear & Shoes,3,20313
319,Male,18-25,Married,Delhi,Central,Govt,Furniture,3,20312
320,Female,26-35,Married,Delhi,Central,Others,Footwear & Shoes,4,20312
321,Male,26-35,Single,Delhi,Central,Others,Footwear & Shoes,2,20312
322,Female,51-55,Married,Uttar Pradesh,Central,Others,Footwear & Shoes,2,20310
323,Female,46-50,Single,Madhya Pradesh,Central,Others,Footwear & Shoes,1,20309
324,Male,55+,Single,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,1,20309
325,Female,36-45,Married,Delhi,Central,Others,Footwear & Shoes,1,20308
326,Female,55+,Single,Andhra Pradesh,Southern,Others,Furniture,4,20304
327,Female,26-35,Married,Karnataka,Southern,Healthcare,Footwear & Shoes,1,20303
328,Female,26-35,Single,Karnataka,Southern,Banking,Footwear & Shoes,4,20302
329,Female,36-45,Married,Uttar Pradesh,Central,Aviation,Footwear & Shoes,3,20301
330,Female,18-25,Married,Delhi,Central,Aviation,Footwear & Shoes,1,20295
331,Female,46-50,Single,Delhi,Central,Banking,Footwear & Shoes,3,20290
332,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,3,20288
333,Male,36-45,Single,Delhi,Central,Others,Footwear & Shoes,1,20286
334,Female,18-25,Married,Haryana,Northern,Healthcare,Furniture,2,20285
335,Male,36-45,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,4,20285
336,Female,26-35,Married,Uttar Pradesh,Central,Media,Footwear & Shoes,4,20283
337,Female,36-45,Single,Delhi,Central,Others,Footwear & Shoes,3,20281
338,Female,46-50,Single,Haryana,Northern,IT Sector,Furniture,3,20280
339,Male,36-45,Single,Uttar Pradesh,Central,Govt,Footwear & Shoes,3,20279
340,Female,55+,Single,Andhra Pradesh,Southern,Govt,Furniture,3,20278
341,Male,55+,Single,Karnataka,Southern,Aviation,Footwear & Shoes,2,20278
342,Female,36-45,Married,Uttar Pradesh,Central,Govt,Footwear & Shoes,1,20276
343,Female,36-45,Single,Madhya Pradesh,Central,Others,Footwear & Shoes,3,20275
346,Male,36-45,Married,Haryana,Northern,Others,Footwear & Shoes,2,20269
347,Male,55+,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,2,20269
348,Female,26-35,Single,Delhi,Central,IT Sector,Footwear & Shoes,2,20262
349,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,4,20260
350,Male,55+,Married,Uttar Pradesh,Central,Others,Footwear & Shoes,4,20260
351,Male,18-25,Single,Andhra Pradesh,Southern,Others,Furniture,3,20258
352,Female,26-35,Married,Delhi,Central,Banking,Footwear & Shoes,2,20258
353,Male,36-45,Single,Madhya Pradesh,Central,Govt,Footwear & Shoes,4,20257
354,Female,36-45,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,1,20253
355,Female,26-35,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,1,20252
356,Male,26-35,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,3,20251
357,Female,26-35,Married,Delhi,Central,Hospitality,Footwear & Shoes,2,20250
358,Female,18-25,Single,Haryana,Northern,IT Sector,Furniture,4,20246
359,Female,55+,Single,Uttarakhand,Central,Others,Furniture,2,20239
360,Female,51-55,Single,Karnataka,Southern,Banking,Footwear & Shoes,3,20237
361,Female,51-55,Single,Delhi,Central,Aviation,Footwear & Shoes,2,20236
362,Female,26-35,Single,Madhya Pradesh,Central,Media,Footwear & Shoes,3,20233
363,Male,18-25,Single,Gujarat,Western,Others,Furniture,2,20232
364,Male,26-35,Married,Andhra Pradesh,Southern,Others,Footwear & Shoes,1,20230
365,Female,36-45,Single,Karnataka,Southern,Aviation,Footwear & Shoes,2,20230
